id,name,category,description,subcategories,priority,data_type,applicable_context,subcategory_count,is_primary,evaluation_difficulty,related_facet_ids
190,Psychological construct: Self-Compassion total,emotion,Evaluation facet for assessing conversation quality on emotion,['Self-Compassion total'],medium,ordinal,both,1,False,high,"[11, 17, 49, 77, 85]"
191,Psychological construct: Executive-Function composite,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Executive-Function composite'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
192,Rebelliousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
193,Volunteer Work,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
194,Intellect,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
195,Use of Mathematical Formulas,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
196,Coarseness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
197,Behavioral Tendencies and Subcomponents,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
198,Sensitivity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
199,Divided Attention Ability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
200,Psychological construct: Acculturative Stress score,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Acculturative Stress score'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
201,Dauntlessness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
202,Concreteness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
203,Hysteria (Hy),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
204,Jewish spiritual metric: Sukkot lulav-shaking days,unknown,Evaluation facet for assessing conversation quality on unknown,['Sukkot lulav-shaking days'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
205,Sentence Structure,linguistic,Evaluation facet for assessing conversation quality on linguistic,[],high,ordinal,both,0,True,medium,"[59, 168, 215, 298, 395]"
206,Esteem Needs,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
207,Understanding mechanical concepts,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
208,Auditory Memory Recall,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
209,Storytelling proficiency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
210,Music-lessons years,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
211,Warmheartedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
212,Self-effacement,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
213,Outspokenness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
214,Sleep-environment temperature,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
215,Comprehension of spoken information,linguistic,Evaluation facet for assessing conversation quality on linguistic,[],high,ordinal,both,0,True,medium,"[59, 168, 205, 298, 395]"
216,Blissfulness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
217,Sequential Memory Recall,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
218,Withdrawnness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
219,Hindu spiritual metric: Yoga discipline hours / week,unknown,Evaluation facet for assessing conversation quality on unknown,['Yoga discipline hours / week'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
220,Conservatism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
221,Adaptability and Flexibility Subcomponents,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
222,Hindu spiritual metric: Vrata vows observed / year,unknown,Evaluation facet for assessing conversation quality on unknown,['Vrata vows observed / year'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
223,Ardency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
224,Aesthetic Appreciation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
225,Transactional Leadership,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
226,Value orientation: Universalism,personality,Evaluation facet for assessing conversation quality on personality,['Universalism'],low,ordinal,both,1,False,high,"[72, 154, 160, 310, 358]"
227,Perseverance,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
228,Regularity of Self-Reflection,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
229,Controlling Reactions,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
230,Psychological construct: Cultural Intelligence – Behavioral,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Cultural Intelligence – Behavioral'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
231,Metabolic Rate (Low or High),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
232,Dietary Habits,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
233,Significance: Desire to make an impact,unknown,Evaluation facet for assessing conversation quality on unknown,['Desire to make an impact'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
234,Psychological construct: Resilience-Trait score,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Resilience-Trait score'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
235,Boredom Susceptibility,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
236,Psychological construct: Consummatory Pleasure scale,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Consummatory Pleasure scale'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
237,Leadership Styles and Behaviors,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
238,I Ching hexagram 5 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
239,Macronutrient ratio: carbs,unknown,Evaluation facet for assessing conversation quality on unknown,['carbs'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
240,Passport-stamps count,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
241,Local-food sourcing %,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
242,Patient care orientation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
243,Soft-skill training hours,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
244,Graffiti appreciation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
245,Preference for Home-Cooked vs Restaurant Meals,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
246,Immune-response age,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
247,Social-cognition variable: Cognitive Empathy,emotion,Evaluation facet for assessing conversation quality on emotion,['Cognitive Empathy'],medium,ordinal,both,1,False,high,"[11, 17, 49, 77, 85]"
248,Kink-interest diversity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
249,Adaptability and Flexibility,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
250,Judging Consequences,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
251,Harmfulness,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 165, 186, 189]"
252,Affinity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
253,Abasement,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
254,Chronic pain presence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
255,Discernment practice hours / week,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
256,Initiative,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
257,Courageousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
258,Joyfulness,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
259,Suspicion,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
260,Basophil count,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
261,Attachment avoidance score,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
262,Time Orientation End Points,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
263,Brazenness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
264,Talkativeness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
265,Equitableness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
266,Ideas generated/day,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
267,Originality,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
268,Fearfulness: Fear of physical dangers,emotion,Evaluation facet for assessing conversation quality on emotion,['Fear of physical dangers'],medium,ordinal,both,1,False,high,"[11, 17, 49, 77, 85]"
269,Dance rehearsal hours/week,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
270,Practice frequency: Mantra meditation,unknown,Evaluation facet for assessing conversation quality on unknown,['Mantra meditation'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
271,Public-transport km/week,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
272,Social Desirability Bias,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 165, 186, 189]"
273,I Ching hexagram 43 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
274,Disagreeableness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
275,Participation in Community Activities,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
276,Impudence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
277,Analogies,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
278,Clumsiness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
279,Tendency Toward Compromise or Confrontation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
280,I Ching hexagram 19 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
281,Robotics-interaction frequency,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
282,Casual lifestyle,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
283,Collectedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
284,Reliance on context,pragmatic,Evaluation facet for assessing conversation quality on pragmatic,[],medium,ordinal,both,0,False,medium,"[68, 140, 315, 364]"
285,Delegation skills,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
286,I Ching hexagram 49 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
287,Managing emotions,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
288,Scripture memorization verses,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
289,Conventional,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
290,Hindu spiritual metric: Bhagavad-Gita study hours,unknown,Evaluation facet for assessing conversation quality on unknown,['Bhagavad-Gita study hours'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
291,Open-source contributions,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
292,Psychological construct: Social Conformity tendency,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Social Conformity tendency'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
293,Individuality,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
294,I Ching hexagram 22 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
295,Attachment style: Secure,unknown,Evaluation facet for assessing conversation quality on unknown,['Secure'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
296,Intelligence Quotient (IQ),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
297,Blog-subscriber count,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
298,Non-Verbal Communication Skills,linguistic,Evaluation facet for assessing conversation quality on linguistic,[],high,ordinal,both,0,True,medium,"[59, 168, 205, 215, 395]"
299,Drug-use history,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
300,Commute time/day,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
301,Decision-making speed,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
302,Psychological construct: Excuse-Making tendency,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Excuse-Making tendency'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
303,Peer-to-peer lending usage,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
304,Psychological construct: Eye-Contact avoidance score,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Eye-Contact avoidance score'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
305,Social-cognition variable: Faux Pas Recognition accuracy,unknown,Evaluation facet for assessing conversation quality on unknown,['Faux Pas Recognition accuracy'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
306,Conscientiousness (C),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
307,Use of Nature as a Stress Reliever,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
308,Attitude toward learning,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
309,Conscientiousness Facets,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
310,Honesty-humility trait score,personality,Evaluation facet for assessing conversation quality on personality,[],low,ordinal,both,0,False,high,"[72, 154, 160, 226, 358]"
311,Digital-nomad months,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
312,Religious coping – Negative,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
313,Snacking Behavior,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
314,Aura-color perception,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
315,Sacred text engagement: Zohar (Kabbalah) study hours,pragmatic,Evaluation facet for assessing conversation quality on pragmatic,['Zohar (Kabbalah) study hours'],medium,ordinal,both,1,False,medium,"[68, 140, 284, 364]"
316,Motivational Drivers,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
317,Cloud-backup frequency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
318,Learning Style,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
319,Islamic practice: Seerah study hours,unknown,Evaluation facet for assessing conversation quality on unknown,['Seerah study hours'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
320,Safety compliance,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 165, 186, 189]"
321,Sensationalism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
322,Nationality,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
323,Drollness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
324,Cooperation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
325,Breakfast-skipping frequency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
326,Sikh spiritual metric: Kirtan participation frequency,unknown,Evaluation facet for assessing conversation quality on unknown,['Kirtan participation frequency'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
327,Impulsivity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
328,Museum visits/year,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
329,Choir participation years,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
330,Delegation Ability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
331,Kabbalah sephira balance: Tiferet,unknown,Evaluation facet for assessing conversation quality on unknown,['Tiferet'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
332,Desire to influence others,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
333,Vivacity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
334,Genialness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
335,Cognitive measure: Working Memory Index,unknown,Evaluation facet for assessing conversation quality on unknown,['Working Memory Index'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
336,Ethical practices,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 165, 186, 189]"
337,New-Age spiritual metric: Channeling sessions / year,unknown,Evaluation facet for assessing conversation quality on unknown,['Channeling sessions / year'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
338,Civility,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
339,Sleep Apnea,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
340,Classiness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
341,Control over situations,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
342,Time outdoors/day (h),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
343,Effeteness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
344,Polygenic risk: cardiovascular disease,unknown,Evaluation facet for assessing conversation quality on unknown,['cardiovascular disease'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
345,Psychological construct: Identity Diffusion level,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Identity Diffusion level'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
346,Learning through movement,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
347,Caffeine sensitivity gene,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
348,Hatefulness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
349,Persistence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
350,Psychological construct: Perfectionistic Strivings,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Perfectionistic Strivings'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
351,Wake-time consistency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
352,Numerical Reasoning,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
353,Social-cognition variable: Mentalizing network activation,unknown,Evaluation facet for assessing conversation quality on unknown,['Mentalizing network activation'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
354,Patriotism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
355,Leadership Styles,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
356,Servility,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
357,I Ching hexagram 24 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
358,Enneagram Personality Types,personality,Evaluation facet for assessing conversation quality on personality,[],low,ordinal,both,0,False,high,"[72, 154, 160, 226, 310]"
359,Stress Recovery Ability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
360,Troubleshooting technical issues,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
361,Defense-mechanism tendency: Introjection,unknown,Evaluation facet for assessing conversation quality on unknown,['Introjection'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
362,Irritability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
363,Travel-companions diversity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
364,Sacred text engagement: Quran surahs memorized,pragmatic,Evaluation facet for assessing conversation quality on pragmatic,['Quran surahs memorized'],medium,ordinal,both,1,False,medium,"[68, 140, 284, 315]"
365,Trust in others,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
366,Gamified-finance-app usage,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
367,Buddhist practice: Eightfold Path – Right Intention level,unknown,Evaluation facet for assessing conversation quality on unknown,['Eightfold Path – Right Intention level'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
368,Caffeine intake (mg/day),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
369,Comfort with Vulnerability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
370,Anticipativeness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
371,Additional Common Parameters and Their End Points,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
372,Avoiding,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
